name,img,ranking,score,population,info,year,quote
活着,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,30,9.3,705058,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994 / 中国大陆 中国香港 / 剧情 历史 家庭
                        ",1994,张艺谋最好的电影。
指环王3：王者无敌,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,31,9.3,690990,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",2003,史诗的终章。
哈利·波特与魔法石,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,32,9.1,965323,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
                            2001 / 美国 英国 / 奇幻 冒险
                        ",2001,童话世界的开端。
乱世佳人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,33,9.3,597208,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...
                            1939 / 美国 / 剧情 历史 爱情 战争
                        ",1939,Tomorrow is another day.
何以为家,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,34,9.1,884779,"
                            导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...
                            2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情
                        ",2018,凝视卑弱生命，用电影改变命运。
素媛,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,35,9.3,579758,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情
                        ",2013,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
飞屋环游记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg,36,9.1,1150110,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        ",2009,最后那些最无聊的事情，才是最值得怀念的。 
摔跤吧！爸爸,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,37,9.0,1364602,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭
                        ",2016,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
十二怒汉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,38,9.4,403709,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957 / 美国 / 剧情
                        ",1957,1957年的理想主义。 
哈尔的移动城堡,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,39,9.1,865056,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 动画 奇幻 冒险
                        ",2004,带着心爱的人在天空飞翔。
我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,40,9.0,1815657,"
                            导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...
                            2018 / 中国大陆 / 剧情 喜剧
                        ",2018,对我们国家而言，这样的电影多一部是一部。
少年派的奇幻漂流,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,41,9.1,1191995,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
                            2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险
                        ",2012,瑰丽壮观、无人能及的冒险之旅。
鬼子来了,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,42,9.3,533912,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 喜剧
                        ",2000,对敌人的仁慈，就是对自己残忍。
大话西游之月光宝盒,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,43,9.0,1061820,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        ",1995,旷古烁今。
天空之城,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,44,9.1,718660,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险
                        ",1986,对天空的追逐，永不停止。 
天堂电影院,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,45,9.2,593467,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...
                            1988 / 意大利 法国 / 剧情 爱情
                        ",1988,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
猫鼠游戏,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,46,9.1,802428,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002 / 美国 加拿大 / 传记 犯罪 剧情
                        ",2002,骗子大师和执著警探的你追我跑故事。 
闻香识女人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,47,9.1,745930,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情
                        ",1992,史上最美的探戈。
指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,48,9.2,643707,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",2002,承前启后的史诗篇章。
罗马假日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,49,9.1,836552,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情
                        ",1953,爱情哪怕只有一天。
钢琴家,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,50,9.2,495184,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐
                        ",2002,音乐能化解仇恨。
让子弹飞,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,51,8.9,1426861,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部
                        ",2010,你给我翻译翻译，神马叫做TMD的惊喜。
指环王1：护戒使者,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.jpg,52,9.1,730051,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ",2001,传说的开始。
辩护人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,53,9.2,518712,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...
                            2013 / 韩国 / 剧情
                        ",2013,电影的现实意义大过电影本身。
大闹天宫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,54,9.4,362205,"
                            导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装
                        ",1961,经典之作，历久弥新。
教父2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,55,9.2,459267,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪
                        ",1974,优雅的孤独。
狮子王,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,56,9.1,715460,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 动画 冒险 歌舞
                        ",1994,动物版《哈姆雷特》。
死亡诗社,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,57,9.1,602702,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情
                        ",1989,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
黑客帝国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,58,9.1,706452,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 / 动作 科幻
                        ",1999,视觉革命。
海蒂和爷爷,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,59,9.3,426407,"
                            导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...
                            2015 / 德国 瑞士 / 剧情 冒险 家庭
                        ",2015,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
搏击俱乐部,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,60,9.0,731534,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 德国 意大利 / 剧情 动作 悬疑 惊悚
                        ",1999,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
绿皮书,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,61,8.9,1359133,"
                            导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...
                            2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐
                        ",2018,去除成见，需要勇气。
饮食男女,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,62,9.1,516809,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 中国台湾 美国 / 剧情 家庭
                        ",1994,人生不能像做菜，把所有的料都准备好了才下锅。
美丽心灵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,63,9.0,657957,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
                            2001 / 美国 / 传记 剧情
                        ",2001,爱是一切逻辑和原由。
窃听风暴,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,64,9.2,484227,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006 / 德国 / 剧情 悬疑
                        ",2006,别样人生。
本杰明·巴顿奇事,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,65,8.9,850041,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻
                        ",2008,在时间之河里感受溺水之苦。
