account_title,account_link,vote_num,star,comment_time,comment_location,comment
Namdak,https://www.douban.com/people/vickydesertswu/,1035,力荐,2022-08-22 04:24:36,美国,“她是我见过的第一个，凭借完整女性特质，还能这么强大的女主！！！”
嘻嘻,https://www.douban.com/people/184974925/,1048,力荐,2022-08-21 20:27:35,天津,比星汉 沉香好看太多了
Gin.,https://www.douban.com/people/240833201/,1072,很差,2022-08-27 16:50:58,湖南,救命啊家人们真的很尬啊。。。为什么这么多人吹我真的理解不了
死而复生的伯爵,https://www.douban.com/people/185837861/,2520,很差,2022-08-21 12:18:31,北京,营销咖烦死了！！越营销越烦，男主像木偶🐒有没演技又像猴，女主这个造型土死了，整部剧纯靠营销一天上八百次热搜，男主是不是放个p都能上热搜啊，营销咖最爱说的就是自己没有营销没有团队了是吧whd😅
皆是虚妄,https://www.douban.com/people/2561246/,3088,很差,2022-08-10 14:17:39,,被夹子音劝退……可怕为什么夹子音开始侵蚀影视剧了
泡泡红茶,https://www.douban.com/people/180252720/,1791,力荐,2022-08-18 01:07:31,,多来点这种bking男主，少来点随时随地都要吐血的男主，我爱看强者谈恋爱。
王先生的眉眼,https://www.douban.com/people/150686178/,937,推荐,2022-08-23 17:50:15,,我怕豆瓣认为我是水数据的，发点什么证明自己是个大活人
岑喵喵,https://www.douban.com/people/136590924/,1156,力荐,2022-08-22 00:58:14,北京,"看完28集，我把评分改到了5星。
爱是什么？责任又是什么？
这些年的古偶里有太多太多为虐而虐为甜而甜的故事，但是很少可以像诀子一样，像小兰花和大强一样，坦荡地面对身份、责任和对彼此的爱：

我做了选择，那我便甘于承担要为此付出的一切；
责任也并不是非要用牺牲爱人来成全的东西；
爱不仅是溺爱和迁就，更是尊重。

把这几个主题糅合在一起讲得这么好，诀子，你真的很绝。"
圆宵节,https://www.douban.com/people/214302383/,532,还行,2022-08-22 10:22:39,湖北,"虞书欣...你的演技...
第四集了，还是有点看不下去，弃了，仙界像光污染。"
夏天鸭鸭,https://www.douban.com/people/51949003/,2953,力荐,2022-08-08 07:54:32,,欣欣的可爱先不提，这个画面，服装，特效，意境美，是我见过的所有仙侠剧里最牛最好看的。说滤镜糊的有可能没开4K ，4K 打开真的美炸了。终于有一部对得起2022年特效的仙侠剧出现了，不愧为东方幻想。
❤️,https://www.douban.com/people/193939842/,2180,很差,2022-08-20 22:06:55,甘肃,营销太过就会引起反感
蛋饺肉丝,https://www.douban.com/people/158355343/,3438,力荐,2022-08-07 21:14:03,,出乎意料，之前以为真的是无脑儿童剧，没想到还行，虞书欣演技见仁见智吧，我觉得挺好的，因为女主就是这种有点傻白甜的性格，换身以后眼神语气明显变换的挺好，原音真的不错，🉑看
nana,https://www.douban.com/people/155446299/,2923,很差,2022-08-08 11:51:41,,网红也能演戏， 如今演戏门槛太低了
常春藤,https://www.douban.com/people/180109751/,228,还行,2022-08-27 22:03:11,浙江,前14集可以说是相当精彩，但是从此以后更新的剧情几乎很难让人相信是同一个编剧导演的作品，我个人认为节奏和逻辑可谓是一落千丈……作为特意买了会员来追的观众来说，还是第一次有如此快速的高开低走的感觉，实在是很可惜。恰逢此时剧集热度上升，满屏都是热搜的情况下，剧情急转直下，又有两次直播加持，属实是drama到了家。
