,title,link,view,uploader,upload time
53,蔡徐坤打球这么帅，黑粉不要再黑他了！,//www.bilibili.com/video/BV1wt411376t?from=search&seid=4147694052154110212,"
        315
      ",祸津仙,"
        2019-07-17
      "
54,把蔡徐坤打球视频和土嗨神曲放在一起会怎么样呢,//www.bilibili.com/video/BV1ab411T7VQ?from=search&seid=4147694052154110212,"
        152
      ",中奖丶绝缘体,"
        2019-04-08
      "
55,【万恶之源】当蔡徐坤打球遇到丁义珍……,//www.bilibili.com/video/BV13b411K79s?from=search&seid=4147694052154110212,"
        6005
      ",ONETWOSTOVE,"
        2019-04-12
      "
56,【蔡徐坤】打球警告,//www.bilibili.com/video/BV1eb411L7Q6?from=search&seid=4147694052154110212,"
        623
      ",ZH吊,"
        2019-04-14
      "
57,蔡徐坤打球本质是二人转，换个二手玫瑰BGM画风和谐（哎呀！我说命运呀~）,//www.bilibili.com/video/BV1xb411T7ym?from=search&seid=4147694052154110212,"
        157.0万
      ",抖森云音乐,"
        2019-04-09
      "
58,【前方睾能】你以为蔡徐坤打球真的垃圾吗?不，其实他会跳广场舞,//www.bilibili.com/video/BV1gb411u7N7?from=search&seid=4147694052154110212,"
        665
      ",尼古拉斯-麦克杰克骚,"
        2019-04-06
      "
59,蔡徐坤打球完整版！你打球真像蔡徐坤！,//www.bilibili.com/video/BV1xb411s7mx?from=search&seid=4147694052154110212,"
        3223
      ",ACG丶小七,"
        2019-03-31
      "
60,蔡徐坤打球，肖战跳舞，华晨宇唱歌，哪一位是你的最爱呢！,//www.bilibili.com/video/BV1GP4y1G7J5?from=search&seid=1448762815412031760,"
        2.0万
      ",小轩的宝藏音乐,"
        2021-12-12
      "
61,外国小哥看蔡徐坤打球，吓得一拳打穿了屏幕，裤子都湿了！,//www.bilibili.com/video/BV1vb411s7hM?from=search&seid=1448762815412031760,"
        3.5万
      ",花笙お,"
        2019-03-31
      "
62,别再黑蔡徐坤打球了，蔡徐坤......我爱你！,//www.bilibili.com/video/BV1xb411t7Fi?from=search&seid=1448762815412031760,"
        675
      ",三井的猫咪,"
        2019-03-26
      "
63,力元君原地删除蔡徐坤打球视频，还有哲别君，阿吗粽,//www.bilibili.com/video/BV1Eb411T79S?from=search&seid=1448762815412031760,"
        2.1万
      ",Okk_GoGo,"
        2019-04-13
      "
64,光脚模仿蔡徐坤打球,//www.bilibili.com/video/BV1Db411p7DP?from=search&seid=1448762815412031760,"
        458
      ",一匹废马,"
        2019-04-02
      "
65,震惊！某高校竟然在毕业生晚会上当众模仿蔡徐坤打球！,//www.bilibili.com/video/BV1r4411P7p5?from=search&seid=1448762815412031760,"
        311
      ",i三秋,"
        2019-06-13
      "
66,蔡徐坤打球原版视频,//www.bilibili.com/video/BV12b411G7mx?from=search&seid=1448762815412031760,"
        6.5万
      ",INTO1_叫我AK就好了,"
        2019-04-19
      "
67,德云色看药水哥模仿蔡徐坤打球：太暴力了，我们都是喜欢才学的！,//www.bilibili.com/video/BV144411t7Zq?from=search&seid=1448762815412031760,"
        40.5万
      ",德云小月亮,"
        2019-04-30
      "
68,［力元君］蔡徐坤打球很强...学他太难了！,//www.bilibili.com/video/BV1Kb411j7Gf?from=search&seid=1448762815412031760,"
        428
      ",VANOSS-11,"
        2019-04-15
      "
69,蔡徐坤VS王祖贤男神女神打球，选一个喜欢！,//www.bilibili.com/video/BV17b411g7Yb?from=search&seid=1448762815412031760,"
        633
      ",浪漫主义2021,"
        2019-04-04
      "
70,蔡徐坤打球跳舞唱Rap鬼畜,//www.bilibili.com/video/BV1mb411b7Aj?from=search&seid=1448762815412031760,"
        1.3万
      ",我是寒光呀,"
        2019-03-02
      "
71,蔡徐坤打球视频/2.13歌曲封面被按头抄袭事件始末,//www.bilibili.com/video/BV16b411U7bN?from=search&seid=1448762815412031760,"
        1.8万
      ",草涵咯格,"
        2019-02-13
      "
72,美少女模仿蔡徐坤打球，却被粉丝骂惨了,//www.bilibili.com/video/BV1mb41157qU?from=search&seid=1448762815412031760,"
        327
      ",美男子db,"
        2019-04-18
      "
73,看蔡徐坤打球从2倍一直加速到128倍的效果 ，所有人666准备，这波超级帅,//www.bilibili.com/video/BV1mx41197sM?from=search&seid=1448762815412031760,"
        2720
      ",做咩野咧,"
        2019-06-29
      "
